id;conversation_id;created_at;user_id;username;label;tweet
1,58E+18;1,58E+18;2022-10-16 05:18:19 SE Asia Standard Time;1,49E+18;alhusaini_asror;NEGATIF;"@mohmahfudmd Benar dan Betul.Ketua PSSI,mundur  secara Sukarela,Sebagai buukti Tanggung Jawab Moral,mundur Secara Sukarela,bukan Secara Hukum.Tegakkan ""Hukum dan Moral"": GERAKAN MORAL REPUBLIK INDONESIA  (GEHUMRI),"
1,58E+18;1,58E+18;2022-10-16 05:13:51 SE Asia Standard Time;1442933096;metmalamminggu;NEGATIF;"@iIhamzada Dilarang intervensi gara"" aturan fifa sih , makanya pssi santai"" bae , pura"" gk denger pssi 🤣🤣🤣"
1,58E+18;1,58E+18;2022-10-16 05:06:34 SE Asia Standard Time;7,88E+17;onedayasmine;NEGATIF;@gibran_tweet Mas.. jadi ketua PSSI yaaa Kalau perlu menpora Sekalian Paragames udah ok apalagi even lain  Mosok lobi FIFA pak Menteri BUMN @erickthohir lagi,  kelihatan kelasnya soalnya kalau yg lobi menpora atau Iwan bule pasti Indonesia kena sanksi dari FIFA   Lobi olimpiade London jg gagal
1,58E+18;1,58E+18;2022-10-16 05:03:44 SE Asia Standard Time;4812772283;harryunited05;NEGATIF;@medioclubID @PSSI mana orangnya itu2 aja lagi, pada rangkap jabatan 😆😆😆
1,58E+18;1,58E+18;2022-10-16 05:00:24 SE Asia Standard Time;1,31E+18;ariflabmed;POSITIF;@medioclubID @PSSI Yunus Nusi akan dikenang sebagai bapak Stadion Standar FIFA
1,58E+18;1,58E+18;2022-10-16 05:00:23 SE Asia Standard Time;1,39E+18;bintiyusran;NEGATIF;@mohmahfudmd Mengapa ya PSSI tak bisa di intervensi? Apa karena katagori ormas? Tapi koq semacam ormas lain yg keagamaan bisa diberhentikan paksa? Padahal katanya agama privacy? Trus katanya ormas keagamaan berbahaya, pdhl yg memakan korban berkali-kali????
1,58E+18;1,58E+18;2022-10-16 05:00:07 SE Asia Standard Time;3192954030;her_wanz;NEGATIF;@medioclubID @PSSI Ketika para Pensiunan Pemain sepak bola tidak berada dalam jajaran kepengurusan.
1,58E+18;1,58E+18;2022-10-16 04:57:27 SE Asia Standard Time;352106041;iqbaalliqbaall;NEGATIF;@TheOfficialGFY @juventusfcid Nyuruh #AllegriOut sama susahnya nyuruh ketum @PSSI dan @pt_lib mundur
1,58E+18;1,58E+18;2022-10-16 04:53:06 SE Asia Standard Time;1,21E+18;afriansyah_mu;POSITIF;Usul, Ismet Sofyan diangkat jadi kapolda jatim. Iwan Bule aja bisa jadi ketua PSSI.
1,58E+18;1,58E+18;2022-10-16 04:52:37 SE Asia Standard Time;1,33E+18;21beritaterkini;POSITIF;5 Momen KLB Terakhir PSSI: Mayoritas Pemilihan Ketua Umum  https://t.co/VqF8RvNOMc
1,58E+18;1,58E+18;2022-10-16 04:52:24 SE Asia Standard Time;1,45E+18;dum2nd;POSITIF;@BetaDede2 @PSSI This is not true. Not correct tepatnya. Contoh menghiraukan polemik yg ada adalah sebagaimana dilakukan Asnawi.
1,58E+18;1,58E+18;2022-10-16 04:51:19 SE Asia Standard Time;1,25E+18;panggilaja_i_;POSITIF;@unmagnetism @SPlCYBOSS @PSSI Bener juga yak
1,58E+18;1,58E+18;2022-10-16 04:51:04 SE Asia Standard Time;1,04E+18;maziftakh;NEGATIF;@mojokdotco Memimpin PSSI ini agak rumit , ekspektasi kita kdg terlalu tinggi dan banyak tuntutan,maunya serba instan..mungkin perlu mantan DIRUT  KAI yaitu Pak Ignasius Jonan yg terbukti SANGAT berhasil memimpin KAI. Perlu penyegaran di semua level dari bawah smp atas
1,58E+18;1,58E+18;2022-10-16 04:50:34 SE Asia Standard Time;1,26E+18;honeyshyun;POSITIF;apa ajaya tadi wkwkwk bahas jokowi kaesang, nana merry, pssi, insurance omset 1,1M, boneka dan gain peri, truk gila, anxiousnya aku ditempat ramai, bahas real stay jugaa, bahas g30spki, soekarno, anjing dan kucing ketika keluar rumah, bahas anak mbbs, penyakit lambung🤣🤣🤣🤣
1,58E+18;1,58E+18;2022-10-16 04:50:10 SE Asia Standard Time;1,35E+18;jakiahm13459811;POSITIF;@hendrycbastian @rizkisetyo_ @registaco Cocok pengusaha sukses kaya HT gak bakal nyari idup di PSSI 😅 PSSI juga butuh dukungan dana besar.
1,58E+18;1,58E+18;2022-10-16 04:49:27 SE Asia Standard Time;1,45E+18;dum2nd;POSITIF;@PSSI Mereka terbang ke Turki ketika PSSI masih diurus oleh Iwan, Iwan, Riyadh, dll. Ketika mereka kembali ke tanah air, PSSI sudah diurus oleh wajah-wajah baru yg lebih baik. Amin.
1,58E+18;1,58E+18;2022-10-16 04:48:36 SE Asia Standard Time;1,02E+18;unclejames01;POSITIF;@kang___L Pengurus PSSI.  https://t.co/NZ2YEoCK5q
1,58E+18;1,58E+18;2022-10-16 04:46:29 SE Asia Standard Time;486404187;cingseven;NEGATIF;@medioclubID @PSSI Dari Ratusan Juta Rakyat Indonesia kenapa harus ada yang rangkap Jabatan sih... Emang Ga ada ya belasan orang indonesia yang kompeten ngurus sepakbola indonesia ta sampe harus dipaksain rangkap2 gitu eheheehehe
1,58E+18;1,58E+18;2022-10-16 04:46:13 SE Asia Standard Time;98754417;nofafifu_;POSITIF;@mojokdotco Jare @hasbisy 4 @PSSI
