Kata_slang;Kata_baku
ababil;anak ingusan
abal2;palsu
abal;palsu
abg;remaja
about;tentang
academy;akademi
ad;ada
adala;adalah
adek;adik
adl;adalah
adlah;adalah
adlh;adalah
ae;aja
ahir;akhir
aj;aja
aja;jangan
ajah;aja
aje;saja
akooh;saya
aktifitas;aktivitas
alay;norak
albm;album
alesan;alasan
alias;sama dengan
aliss;sama dengan
all;semua
alloh;allah
alus;halus
ama;sama
ambek;marah
ambyar;bercerai berai
ampe;sampai
amsyong;musibah
analisa;analisis
ancene;betulkah
ancuur;hancur
and;dan
anjir;waduh
antek;kelompok
anyway;omong omong
apresiasi;penghargaan
aq;saya
area;wilayah
arogan;sombong
asa;tujuan
asap;secepatnya
ato;atau
atw;atau
ava;foto profil
aya;ada
ayaan;ada
ayahnya;ayah
azas;asas
bacod;banyak bicara
bacot;banyak bicara
bacotan;pembicaraan
bacotttt;banyak bicara
baget;keras kepala
ballon;balon
bandits;penjahat
bangsat;kurang ajar
bapa;bapak
bapakk;bapak
baper;bawa perasaan
bapuk;rusak
bbbrp;beberapa
bbrp;beberapa
bcr;bicara
bct;banyak bicara
beb;sayang
bebeb;pacar
beberap;beberapa
beberp;beberapa
becus;mampu
begin;awal
bego;bodoh
begonya;bodoh
bejibun;banyak
ben;agar
ben;supaya
bener;benar
ber2;berdua
ber3;bertiga
berargument;berargumen
berhoax;berbohong
berjln;berjalan
berpolimik;berpolemik
berterimaksih;berterima kasih
berubah;ubah
berulang;beberapa
berulangkali;beberapa kali
best;baik
bestiee;sahabat
better;lebih baik
bf;pacar
bgitu;begitu
bgm;bagaimana
bgmn;bagaimana
bgsat;kurang ajar
bgst;kurang ajar
bgt;banget
bgtu;gitu
bhas;bahas
bhg;bahagia
bhw;bahwa
biang kerok;pembuat gaduh
biar;agar
biarpun;meskipun
big;besar
bikin;buat
binggo;banget
bingit;banget
birahi;berahi
bklan;bakalan
bkn;bukan
blak;terbuka
blg;bilang
blm;belum
blng;bilang
blogh;bodoh
bloon;bodoh
blunder;keliru
blusukan;masuk
bnget;banget
bngsat;kurang ajar
bngst;kurang ajar
bnr;benar
bnyak;banyak
bnyk;banyak
bolot;tidak dengar
bonceng;ikut
booking;pesan
bosok;busuk
bpk;bapak
br;baru
bray;sahabat
brb;akan segera kembali
brjaya;berjaya
brlebihan;berlebihan
brng;barang
bro;kawan
brow;kawan
bs;bisa
bsa;bisa
bsk;besok
btuh;butuh
btw;omong omong
bu;ibu
buatin;buatkan
budeg;tidak mendengar
budek;tuli
buktiin;buktikan
bungkam;tutup mulut
buosokkkkk;busuk
bwang;bang
byangin;wujud
byk;banyak
call;menelpon
can;belum
capek;lelah
caper;cari perhatian
cc;teruskan
cekap;efisien
ceremonial;pembukaan
ceritane;cerita
ceunah;kata nya
champion;pemenang
channel;saluran
chaos;kacau
cilik;kecil
circle;lingkaran
class;kelas
clear;jelas
club;klub
cm;cuma
cmiiw;koreksi saya
cmn;cuman
cmn;hanya
cnt;cinta
coach;pelatih
comberan;air kotor
congrats;selamat
copot;lepas
cover both side;berimbang tidak memihak
cringe;malu
crisis;krisis
crop;potong
cuan;uang
culas;curang
curiga;khawatir
cya;sampai jumpa lagi
da;ada
dadi;jadi
dafuk;kurang ajar
dagel;lucu
damat;tidak peduli
dara;darah
ddakan;dadakan
deal;sepakat
degradasi;kemunduran
dek;adik
demen;suka
dempa;demi apa
den;raden
denger;dengar
design;desain
dg;dengan
dgn;dengan
diamadem;diamandemen
diapain;apa
diem;diam
diflintir;dipelintir
digebukin;dipukul
digiring;didorong
digoreng;dibahas
dijadiin;dijadikan
dilaksakan;dilaksanakan
dimungkiri;dibantah
dinjamin;dijamin
diomongin;dibicarakan
dipake;dipakai
dipiara;dipelihara
director;direktur
dirubah;diubah
disupport;didukung
ditabok;dipukul
dkt;dekat
dlam;dalam
dlan;lebih dulu
dlm;dalam
dlu;dulu
dmn;di mana
dmna;di mana
dn;dan
dng;dengan
do;sampai
dodo;widodo
dpertahankn;dipertahankan
dpt;dapat
dr;dari
dri;dari
drpd;daripada
drun;kadrun 
drunken;mabuk
dsna;disana
dsr;dasar
dtng;datang
dtuntut;dituntut
dugem;dunia gemerlap
duluuuu;dulu
duwe;punya
editor;pennyunting
effort;upaya
ekslasi;eskalasi
element;elemen
elo;kamu
elu;kamu
emaknya;ibu
emang;memang
embel;bawa
emg;memang
emng;emang
engga;tidak
enggan;tidak mau
enggement;perjanjian
enggres;terbaik
engkok;nanti
entar;nanti
ente;kamu
entek;habis
entok;habis
entuk;habis
epsd;episode
etung;hitung
